,Time
0,1588188335064.9534
1,1588188335073.9504
2,1588188335084.939
3,1588188335133.9177
4,1588188335139.9175
5,1588188335163.8943
6,1588188335210.88
7,1588188335253.8438
8,1588188335305.0308
9,1588188335315.0254
10,1588188335350.9998
11,1588188335382.9788
12,1588188335420.9685
13,1588188335458.934
14,1588188335498.9114
15,1588188335502.923
16,1588188335546.8828
17,1588188335578.8635
18,1588188335626.836
19,1588188335631.8467
20,1588188335658.8198
21,1588188335717.7852
22,1588188335766.757
23,1588188335776.751
24,1588188335846.7195
25,1588188335855.7383
26,1588188335875.7166
27,1588188335925.6643
28,1588188335971.6406
29,1588188335984.632
30,1588188335998.6426
31,1588188336054.6729
32,1588188336086.6445
33,1588188336134.6191
34,1588188336144.6116
35,1588188336182.5894
36,1588188336206.5754
37,1588188336261.7205
38,1588188336309.7874
39,1588188336319.8108
40,1588188336341.775
41,1588188336389.893
42,1588188336421.8438
43,1588188336469.8467
44,1588188336478.8408
45,1588188336518.9143
46,1588188336546.8948
47,1588188336585.8704
48,1588188336617.866
49,1588188336677.8518
50,1588188336687.8462
51,1588188336725.8242
52,1588188337085.074
53,1588188337091.07
54,1588188337131.0474
55,1588188337136.0447
56,1588188337163.0447
57,1588188337211.017
58,1588188337249.9832
59,1588188337302.9556
60,1588188337312.9468
61,1588188337343.9492
62,1588188337379.907
63,1588188337424.1143
64,1588188337457.1506
65,1588188337514.1262
66,1588188337524.1445
67,1588188337561.3396
68,1588188337592.32
69,1588188337640.4216
70,1588188337649.4114
71,1588188337671.4016
72,1588188337717.5078
73,1588188337765.6008
74,1588188337775.6
75,1588188337848.1514
76,1588188337857.1458
77,1588188337878.26
78,1588188337924.2622
79,1588188337974.207
80,1588188337988.1946
81,1588188338003.2053
82,1588188338047.1567
83,1588188338079.138
84,1588188338131.1409
85,1588188338141.1155
86,1588188338174.4575
87,1588188338205.645
88,1588188338260.5933
89,1588188338309.567
90,1588188338317.5925
91,1588188338336.5693
92,1588188338388.761
93,1588188338420.7717
94,1588188338460.715
95,1588188338465.7122
96,1588188338510.7083
97,1588188338547.666
98,1588188338598.1267
99,1588188338629.2324
100,1588188338678.2073
101,1588188338686.2317
102,1588188338718.1782
103,1588188338757.1594
104,1588188338805.1304
105,1588188338815.1255
106,1588188338837.1128
107,1588188338885.0833
108,1588188338935.0557
109,1588188338944.081
110,1588188338964.0566
111,1588188339006.015
112,1588188339045.9927
113,1588188339093.9949
114,1588188339141.9363
115,1588188339149.9636
116,1588188339173.9226
117,1588188339211.8955
118,1588188339254.0815
119,1588188339303.0547
120,1588188339314.048
121,1588188339342.1294
122,1588188339384.228
123,1588188339431.2517
124,1588188339456.23
125,1588188339504.2078
126,1588188339510.1995
127,1588188339546.1882
128,1588188339578.4092
129,1588188339639.377
130,1588188339649.4028
131,1588188339664.3835
132,1588188339712.3342
133,1588188339770.3003
134,1588188339781.2966
135,1588188339851.2556
136,1588188339861.2498
137,1588188339869.2583
138,1588188339928.2422
139,1588188339976.1838
140,1588188339987.177
141,1588188340012.1602
142,1588188340051.171
143,1588188340089.2463
144,1588188340136.2444
145,1588188340147.2146
146,1588188340178.1914
147,1588188340204.19
148,1588188340265.1694
149,1588188340315.1177
150,1588188340326.1028
151,1588188340343.109
152,1588188340393.0896
153,1588188340415.0706
154,1588188340467.194
155,1588188340480.155
156,1588188340512.2358
157,1588188340543.285
158,1588188340600.3528
159,1588188340623.337
160,1588188340672.3118
161,1588188340681.337
162,1588188340727.2866
163,1588188340751.285
164,1588188340807.235
165,1588188340816.26
166,1588188340839.2131
167,1588188340887.2175
168,1588188340936.29
169,1588188340946.3096
170,1588188340967.2947
171,1588188341015.241
172,1588188341041.2183
173,1588188341083.194
